model,seed,scenic_side,condition,phase,episode_idx,choice_entry,decided,scenic_choice,split_novelty_left,split_novelty_right,split_novelty_delta,split_novelty_scenic,split_novelty_dull,split_valence,split_arousal,split_body_budget,score_base,score_epistemic,score_progress,score_curiosity,score_total,score_other,action,action_random
Ipsundrum+affect,2,left,scenic_familiar,test,1,scenic,True,True,0.15075567228888181,0.5,0.3492443277111182,0.15075567228888181,0.5,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.15075567228888181,1.061032435119103,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,scenic_familiar,test,2,scenic,True,True,0.14433756729740646,0.5,0.35566243270259357,0.14433756729740646,0.5,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.14433756729740646,1.0546143301276276,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,scenic_familiar,test,3,scenic,True,True,0.1386750490563073,0.5,0.3613249509436927,0.1386750490563073,0.5,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.1386750490563073,1.0489518118865284,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,scenic_familiar,test,4,scenic,True,True,0.1336306209562122,0.5,0.3663693790437878,0.1336306209562122,0.5,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.1336306209562122,1.0439073837864332,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,scenic_familiar,test,5,scenic,True,True,0.12909944487358055,0.5,0.37090055512641945,0.12909944487358055,0.5,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.12909944487358055,1.0393762077038016,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,dull_familiar,test,1,scenic,True,True,0.5,0.15075567228888181,-0.3492443277111182,0.5,0.15075567228888181,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.5,1.410276762830221,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,dull_familiar,test,2,scenic,True,True,0.35355339059327373,0.15075567228888181,-0.20279771830439192,0.35355339059327373,0.15075567228888181,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.35355339059327373,1.2638301534234948,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,dull_familiar,test,3,scenic,True,True,0.2886751345948129,0.15075567228888181,-0.1379194623059311,0.2886751345948129,0.15075567228888181,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.2886751345948129,1.198951897425034,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,dull_familiar,test,4,scenic,True,True,0.25,0.15075567228888181,-0.09924432771111819,0.25,0.15075567228888181,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.25,1.160276762830221,-0.19999999999999996,forward,False
Ipsundrum+affect,2,left,dull_familiar,test,5,scenic,True,True,0.22360679774997896,0.15075567228888181,-0.07285112546109715,0.22360679774997896,0.15075567228888181,0.9939436011241148,0.0726767865106225,-0.018169196627655624,1.110276762830221,0.0,0.0,0.22360679774997896,1.1338835605802,-0.19999999999999996,forward,False
